"","Survived","Pclass","Sex","Age","Embarked","Famsize","Fsize","Fare"
"1","0","3","male",22,"S",2,"small",7.25
"2","1","1","female",38,"C",2,"small",71.2833
"3","1","3","female",26,"S",1,"singleton",7.925
"4","1","1","female",35,"S",2,"small",53.1
"5","0","3","male",35,"S",1,"singleton",8.05
"6","0","3","male",22,"Q",1,"singleton",8.4583
"7","0","1","male",54,"S",1,"singleton",51.8625
"8","0","3","male",2,"S",5,"large",21.075
"9","1","3","female",27,"S",3,"small",11.1333
"10","1","2","female",14,"C",2,"small",30.0708
"11","1","3","female",4,"S",3,"small",16.7
"12","1","1","female",58,"S",1,"singleton",26.55
"13","0","3","male",20,"S",1,"singleton",8.05
"14","0","3","male",39,"S",7,"large",31.275
"15","0","3","female",14,"S",1,"singleton",7.8542
"16","1","2","female",55,"S",1,"singleton",16
"17","0","3","male",2,"Q",6,"large",29.125
"18","1","2","male",30,"S",1,"singleton",13
"19","0","3","female",31,"S",2,"small",18
"20","1","3","female",26.5,"C",1,"singleton",7.225
"21","0","2","male",35,"S",1,"singleton",26
"22","1","2","male",34,"S",1,"singleton",13
"23","1","3","female",15,"Q",1,"singleton",8.0292
"24","1","1","male",28,"S",1,"singleton",35.5
"25","0","3","female",8,"S",5,"large",21.075
"26","1","3","female",38,"S",7,"large",31.3875
"27","0","3","male",26.5,"C",1,"singleton",7.225
"28","0","1","male",19,"S",6,"large",263
"29","1","3","female",22,"Q",1,"singleton",7.8792
"30","0","3","male",28,"S",1,"singleton",7.8958
"31","0","1","male",40,"C",1,"singleton",27.7208
"32","1","1","female",40,"C",2,"small",146.5208
"33","1","3","female",30.5,"Q",1,"singleton",7.75
"34","0","2","male",66,"S",1,"singleton",10.5
"35","0","1","male",28,"C",2,"small",82.1708
"36","0","1","male",42,"S",2,"small",52
"37","1","3","male",20,"C",1,"singleton",7.2292
"38","0","3","male",21,"S",1,"singleton",8.05
"39","0","3","female",18,"S",3,"small",18
"40","1","3","female",14,"C",2,"small",11.2417
"41","0","3","female",40,"S",2,"small",9.475
"42","0","2","female",27,"S",2,"small",21
"43","0","3","male",22,"C",1,"singleton",7.8958
"44","1","2","female",3,"C",4,"small",41.5792
"45","1","3","female",19,"Q",1,"singleton",7.8792
"46","0","3","male",24,"S",1,"singleton",8.05
"47","0","3","male",26,"Q",2,"small",15.5
"48","1","3","female",30.5,"Q",1,"singleton",7.75
"49","0","3","male",11,"C",3,"small",21.6792
"50","0","3","female",18,"S",2,"small",17.8
"51","0","3","male",7,"S",6,"large",39.6875
"52","0","3","male",21,"S",1,"singleton",7.8
"53","1","1","female",49,"C",2,"small",76.7292
"54","1","2","female",29,"S",2,"small",26
"55","0","1","male",65,"C",2,"small",61.9792
"56","1","1","male",47,"S",1,"singleton",35.5
"57","1","2","female",21,"S",1,"singleton",10.5
"58","0","3","male",28.5,"C",1,"singleton",7.2292
"59","1","2","female",5,"S",4,"small",27.75
"60","0","3","male",11,"S",8,"large",46.9
"61","0","3","male",22,"C",1,"singleton",7.2292
"62","1","1","female",38,"",1,"singleton",80
"63","0","1","male",45,"S",2,"small",83.475
"64","0","3","male",4,"S",6,"large",27.9
"65","0","1","male",43,"C",1,"singleton",27.7208
"66","1","3","male",14.5,"C",3,"small",15.2458
"67","1","2","female",29,"S",1,"singleton",10.5
"68","0","3","male",19,"S",1,"singleton",8.1583
"69","1","3","female",17,"S",7,"large",7.925
"70","0","3","male",26,"S",3,"small",8.6625
"71","0","2","male",32,"S",1,"singleton",10.5
"72","0","3","female",16,"S",8,"large",46.9
"73","0","2","male",21,"S",1,"singleton",73.5
"74","0","3","male",26,"C",2,"small",14.4542
"75","1","3","male",32,"S",1,"singleton",56.4958
"76","0","3","male",25,"S",1,"singleton",7.65
"77","0","3","male",28,"S",1,"singleton",7.8958
"78","0","3","male",24,"S",1,"singleton",8.05
"79","1","2","male",0.83,"S",3,"small",29
"80","1","3","female",30,"S",1,"singleton",12.475
"81","0","3","male",22,"S",1,"singleton",9
"82","1","3","male",29,"S",1,"singleton",9.5
"83","1","3","female",30.5,"Q",1,"singleton",7.7875
"84","0","1","male",28,"S",1,"singleton",47.1
"85","1","2","female",17,"S",1,"singleton",10.5
"86","1","3","female",33,"S",4,"small",15.85
"87","0","3","male",16,"S",5,"large",34.375
"88","0","3","male",24,"S",1,"singleton",8.05
"89","1","1","female",23,"S",6,"large",263
"90","0","3","male",24,"S",1,"singleton",8.05
"91","0","3","male",29,"S",1,"singleton",8.05
"92","0","3","male",20,"S",1,"singleton",7.8542
"93","0","1","male",46,"S",2,"small",61.175
"94","0","3","male",26,"S",4,"small",20.575
"95","0","3","male",59,"S",1,"singleton",7.25
"96","0","3","male",24,"S",1,"singleton",8.05
"97","0","1","male",71,"C",1,"singleton",34.6542
"98","1","1","male",23,"C",2,"small",63.3583
"99","1","2","female",34,"S",2,"small",23
"100","0","2","male",34,"S",2,"small",26
"101","0","3","female",28,"S",1,"singleton",7.8958
"102","0","3","male",28,"S",1,"singleton",7.8958
"103","0","1","male",21,"S",2,"small",77.2875
"104","0","3","male",33,"S",1,"singleton",8.6542
"105","0","3","male",37,"S",3,"small",7.925
"106","0","3","male",28,"S",1,"singleton",7.8958
"107","1","3","female",21,"S",1,"singleton",7.65
"108","1","3","male",25,"S",1,"singleton",7.775
"109","0","3","male",38,"S",1,"singleton",7.8958
"110","1","3","female",15,"Q",2,"small",24.15
"111","0","1","male",47,"S",1,"singleton",52
"112","0","3","female",14.5,"C",2,"small",14.4542
"113","0","3","male",22,"S",1,"singleton",8.05
"114","0","3","female",20,"S",2,"small",9.825
"115","0","3","female",17,"C",1,"singleton",14.4583
"116","0","3","male",21,"S",1,"singleton",7.925
"117","0","3","male",70.5,"Q",1,"singleton",7.75
"118","0","2","male",29,"S",2,"small",21
"119","0","1","male",24,"C",2,"small",247.5208
"120","0","3","female",2,"S",7,"large",31.275
"121","0","2","male",21,"S",3,"small",73.5
"122","0","3","male",24,"S",1,"singleton",8.05
"123","0","2","male",32.5,"C",2,"small",30.0708
"124","1","2","female",32.5,"S",1,"singleton",13
"125","0","1","male",54,"S",2,"small",77.2875
"126","1","3","male",12,"C",2,"small",11.2417
"127","0","3","male",30.5,"Q",1,"singleton",7.75
"128","1","3","male",24,"S",1,"singleton",7.1417
"129","1","3","female",11,"C",3,"small",22.3583
"130","0","3","male",45,"S",1,"singleton",6.975
"131","0","3","male",33,"C",1,"singleton",7.8958
"132","0","3","male",20,"S",1,"singleton",7.05
"133","0","3","female",47,"S",2,"small",14.5
"134","1","2","female",29,"S",2,"small",26
"135","0","2","male",25,"S",1,"singleton",13
"136","0","2","male",23,"C",1,"singleton",15.0458
"137","1","1","female",19,"S",3,"small",26.2833
"138","0","1","male",37,"S",2,"small",53.1
"139","0","3","male",16,"S",1,"singleton",9.2167
"140","0","1","male",24,"C",1,"singleton",79.2
"141","0","3","female",14.5,"C",3,"small",15.2458
"142","1","3","female",22,"S",1,"singleton",7.75
"143","1","3","female",24,"S",2,"small",15.85
"144","0","3","male",19,"Q",1,"singleton",6.75
"145","0","2","male",18,"S",1,"singleton",11.5
"146","0","2","male",19,"S",3,"small",36.75
"147","1","3","male",27,"S",1,"singleton",7.7958
"148","0","3","female",9,"S",5,"large",34.375
"149","0","2","male",36.5,"S",3,"small",26
"150","0","2","male",42,"S",1,"singleton",13
